file,sha256,bytes
"lpmdata.dta",b9a5c588e25cb348a276310bcf24910395b4b70fde223e92a17477eb48e96f6a,2379338
"Marriage Ads from newspaper issues.xls",ea751e7fff0b39649da3fb9a050c278690386245cf5c2b8dcf138a85aeb8dbe2,1075712
