responder_caste,groom,observed_share,fitted_share
HC,HCG-HI,0.2301255230125523,0.22742413985326893
HC,HCG-MI,0.17782426778242677,0.18722657708539303
HC,HCG-LI,0.1799163179916318,0.17321275613756626
HC,MCG-HI,0.13807531380753138,0.13801028674583626
HC,MCG-MI,0.060669456066945605,0.060833578005272775
HC,MCG-LI,0.043933054393305436,0.04383652523223655
HC,LCG-HI,0.10669456066945607,0.11147355686931558
HC,LCG-MI,0.05230125523012552,0.03551084336049325
HC,LCG-LI,0.010460251046025104,0.02247173671061725
MC,HCG-HI,0.07219251336898395,0.0716376200199151
MC,HCG-MI,0.09090909090909091,0.09280752498704456
MC,HCG-LI,0.10427807486631016,0.10293427446055883
MC,MCG-HI,0.22192513368983957,0.22494204464673404
MC,MCG-MI,0.12299465240641712,0.11237948429436771
MC,MCG-LI,0.07754010695187166,0.08513998971075373
MC,LCG-HI,0.15508021390374332,0.15388302986766247
MC,LCG-MI,0.08288770053475936,0.08700998224782909
MC,LCG-LI,0.07219251336898395,0.06926604976513465
