responder_caste,groom_caste,relation,share_7k,share_15k,share_35k,elasticity_loglog,elasticity_lower,elasticity_upper,arc_7k_to_15k,arc_15k_to_35k
HC,HC,own caste,0.1799163179916318,0.17782426778242677,0.2301255230125523,0.1557393533774345,-0.021960728618688682,0.32920715856890165,-0.015346312966729647,0.30429571624820984
HC,MC,lower-caste groom,0.043933054393305436,0.060669456066945605,0.13807531380753138,0.7163169853826085,0.4441254451095775,1.0488500828435279,0.42350928992141434,0.9705664920057094
HC,LC,lower-caste groom,0.010460251046025104,0.05230125523012552,0.10669456066945607,1.4318201861777484,0.9691397681401313,2.2254716746497443,2.1117351175962957,0.8414394054179679
MC,HC,higher-caste groom,0.10427807486631016,0.09090909090909091,0.07219251336898395,-0.22928896114109912,-0.5341695462194529,0.08234135853272267,-0.18002087824278604,-0.2720692089396829
MC,MC,own caste,0.07754010695187166,0.12299465240641712,0.22192513368983957,0.6541630889180363,0.41148170192154637,0.9364513826986381,0.6053291193181289,0.6965663893424561
MC,LC,lower-caste groom,0.07219251336898395,0.08288770053475936,0.15508021390374332,0.47997972753747953,0.22106156160459392,0.7783125930465864,0.18126634089073745,0.739357238285709
LC,HC,higher-caste groom,0.07749077490774908,0.025830258302583026,0.01107011070110701,-1.205183214129043,-2.014304308391398,-0.5587607445134966,-1.4414834723848222,-1
LC,MC,higher-caste groom,0.11808118081180811,0.14391143911439114,0.03690036900369004,-0.7390987768410063,-1.2611971238372977,-0.3315466186572935,0.2595661293467189,-1.6062551515398054
LC,LC,own caste,0.16605166051660517,0.16605166051660517,0.25461254612546125,0.2700181001195335,0.049606208818158165,0.5167996474837196,0,0.5044790442780104
