groom_caste,ads,income_n,income_mean,income_sd,age_n,age_mean,age_sd,height_n,height_mean,height_sd,govt_job,po_box,caste_no_bar,income_mentioned,looks_mentioned,education_not_mentioned
Aggregate,2784,1264,15867.484177215201,9908.580684410905,2781,31.89996580238141,7.751349317697495,1469,64.64193328795098,3.6714207494915527,2224,1553,105,1264,1621,578
HC,1369,527,17231.49905123339,8375.99742834702,1368,32.3163778482622,10.046701348002673,101,60.603960396039604,3.0399973944751744,1100,802,45,527,779,276
MC,774,378,16737.433862433918,12337.269968169521,773,31.44760672703752,4.958523314628695,739,65.61028416779432,3.4483729795951765,595,405,16,378,408,202
LC,641,359,12949.1643454039,8421.840745013382,640,31.55625,3.876007617997299,629,64.15262321144675,3.4781731083283662,529,346,44,359,434,100
