component,variance_share
1,0.1583867697062387
2,0.12489690047139324
3,0.11063057073036187
4,0.1007574218973398
5,0.09545002043407715
6,0.09156901823999598
7,0.08677128484434803
8,0.08124322160937579
9,0.07808087730562037
10,0.07221391476124915
