responder_caste,groom_caste,income_level,compensation_k,groom_income,implied_income,share_of_real_ads_below,real_ads_at_or_above
HC,MC,HI,27.37777777778097,35000,62377.77777778097,1,0
HC,MC,MI,34.84444444443403,15000,49844.44444443403,0.9984177215189873,2
HC,MC,LI,40.44444444444399,7000,47444.44444444399,0.9984177215189873,2
HC,LC,HI,35.91304347826664,35000,70913.04347826663,1,0
HC,LC,MI,36.521739130425026,15000,51521.73913042503,1,0
HC,LC,LI,49.30434782608845,7000,56304.34782608845,1,0
MC,LC,HI,22.58064516128704,35000,57580.645161287044,1,0
MC,LC,MI,13.548387096774755,15000,28548.387096774757,0.8829113924050633,148
MC,LC,LI,1.8064516129034058,7000,8806.451612903405,0.30063291139240506,884
