responder_caste,groom_caste,income_level,quartile,letters,own_share,other_share,slope_per_k,compensation_k
HC,MC,HI,RQ1,115,0.052173913043474456,0.23478260869563047,0.005279503105589397,-34.58823529411861
HC,MC,MI,RQ1,115,0.11304347826086743,0.06086956521739563,0.005279503105589397,9.88235294117649
HC,MC,LI,RQ1,115,0.19130434782608993,0.08695652173912734,0.005279503105589397,19.76470588235658
HC,LC,HI,RQ1,115,0.052173913043474456,0.16521739130434884,0.005590062111801046,-20.222222222223795
HC,LC,MI,RQ1,115,0.11304347826086743,0.08695652173912645,0.005590062111801046,4.666666666667162
HC,LC,LI,RQ1,115,0.19130434782608993,0.008695652173919563,0.005590062111801046,32.66666666666718
HC,MC,HI,RQ2,122,0.11475409836065156,0.1311475409836073,0.0032201405152224014,-5.09090909091075
HC,MC,MI,RQ2,122,0.1557377049180404,0.10655737704918085,0.0032201405152224014,15.272727272729858
HC,MC,LI,RQ2,122,0.19672131147541366,0.04098360655738008,0.0032201405152224014,48.36363636363782
HC,LC,HI,RQ2,122,0.11475409836065156,0.13114754098360457,0.0035128805620610634,-4.666666666667058
HC,LC,MI,RQ2,122,0.1557377049180404,0.0901639344262298,0.0035128805620610634,18.666666666667826
HC,LC,LI,RQ2,122,0.19672131147541366,0.032786885245894785,0.0035128805620610634,46.6666666666674
HC,MC,HI,RQ3,127,0.2677165354330691,0.14173228346457084,0.0036557930258719214,34.46153846153545
HC,MC,MI,RQ3,127,0.22047244094488344,0.039370078740156106,0.0036557930258719214,49.53846153846023
HC,MC,LI,RQ3,127,0.1732283464566984,0.039370078740157036,0.0036557930258719214,36.61538461538468
HC,LC,HI,RQ3,127,0.2677165354330691,0.08661417322834619,0.003093363329584048,58.54545454544941
HC,LC,MI,RQ3,127,0.22047244094488344,0.03149606299212484,0.003093363329584048,61.0909090909051
HC,LC,LI,RQ3,127,0.1732283464566984,-7.1434713318777e-15,0.003093363329584048,55.99999999999963
HC,MC,HI,RQ4,114,0.4912280701754279,0.04385964912280801,0.0012531328320802095,356.9999999999881
HC,MC,MI,RQ4,114,0.2192982456140488,0.03508771929824847,0.0012531328320802095,147.0000000000076
HC,MC,LI,RQ4,114,0.15789473684210412,0.008771929824562139,0.0012531328320802095,118.99999999999766
HC,LC,HI,RQ4,114,0.4912280701754279,0.043859649122808396,0.0015664160401000808,285.6000000000233
HC,LC,MI,RQ4,114,0.2192982456140488,1.0514280690407524e-15,0.0015664160401000808,140.00000000002325
HC,LC,LI,RQ4,114,0.15789473684210412,6.1342876150190015e-15,0.0015664160401000808,100.80000000000628
MC,LC,HI,RQ1,96,0.1979166666666597,0.13541666666666355,3.72023809523776e-4,168.00000000000477
MC,LC,MI,RQ1,96,0.14583333333333418,0.14583333333333232,3.72023809523776e-4,4.9986681460727556e-12
MC,LC,LI,RQ1,96,0.15625000000000666,0.12499999999999782,3.72023809523776e-4,84.00000000003133
MC,LC,HI,RQ2,90,0.19999999999999798,0.1555555555555532,0.0019841269841264766,22.400000000005903
MC,LC,MI,RQ2,90,0.22222222222222393,0.10000000000000331,0.0019841269841264766,61.60000000001495
MC,LC,LI,RQ2,90,0.0777777777777807,0.10000000000001186,0.0019841269841264766,-11.200000000007371
MC,LC,HI,RQ3,102,0.29411764705882265,0.12745098039215708,0.002801120448179226,59.500000000000576
MC,LC,MI,RQ3,102,0.06862745098039207,0.0686274509803915,0.002801120448179226,2.031291801429835e-13
MC,LC,LI,RQ3,102,0.049019607843136734,0.049019607843138746,0.002801120448179226,-7.183836858715271e-13
MC,LC,HI,RQ4,86,0.186046511627907,0.2093023255813949,0.007059800664451841,-3.294117647058748
MC,LC,MI,RQ4,86,0.05813953488372346,0.011627906976745386,0.007059800664451841,6.588235294117823
MC,LC,LI,RQ4,86,0.023255813953488143,0.011627906976743308,0.007059800664451841,1.6470588235295003
