sample,responder_caste,letters,own_caste,cross_caste,down,up
"paper (1,123 letters)",All,1123,0.5325022261798753,0.4674977738201247,0.27871772039180764,0.188780053428317
"paper (1,123 letters)",HC,478,0.5878661087866108,0.41213389121338917,0.4121338912133891,0
"paper (1,123 letters)",LC,271,0.5867158671586716,0.41328413284132837,0,0.4132841328413284
"paper (1,123 letters)",MC,374,0.42245989304812837,0.5775401069518716,0.31016042780748665,0.26737967914438504
"all letters (1,366)",All,1366,0.4904831625183016,0.5095168374816984,0.3074670571010249,0.2020497803806735
"all letters (1,366)",HC,573,0.5514834205933682,0.4485165794066318,0.44851657940663175,0
"all letters (1,366)",LC,328,0.5426829268292683,0.45731707317073167,0,0.4573170731707317
"all letters (1,366)",MC,465,0.37849462365591396,0.6215053763440861,0.35053763440860214,0.2709677419354839
