contrast,estimate,boot_median,lower_boot,upper_boot,share_positive
lc_minus_mc_hi,8.535265700483095,8.554006968641108,-26.44114114114115,42.74175438596489,0.7155
lc_minus_mc_mi,1.67729468599034,2.156710310965636,-23.96248148148149,23.794264705882345,0.566
lc_minus_mc_li,8.859903381642518,8.743421052631579,-17.08261932168894,33.40186230198684,0.792
lc_li_minus_hi,13.391304347826093,13.391304347826093,-6.125533536585366,30.155263157894723,0.919
mc_li_minus_hi,13.06666666666667,12.975609756097557,-9.333333333333321,30.198319327731074,0.8965
