responder_caste,groom_income,letters,share_to_lower_caste
HC,7000,112,0.23214285714285715
HC,15000,139,0.38848920863309355
HC,35000,227,0.5154185022026432
MC,7000,95,0.28421052631578947
MC,15000,111,0.27927927927927926
MC,35000,168,0.34523809523809523
