responder_caste,edition,groom,n,share,letters
HC,1,HCG-HI,51,0.23394495412844038,218
HC,2,HCG-HI,59,0.22692307692307692,260
HC,1,HCG-MI,42,0.1926605504587156,218
HC,2,HCG-MI,43,0.16538461538461538,260
HC,1,HCG-LI,35,0.16055045871559634,218
HC,2,HCG-LI,51,0.19615384615384615,260
HC,1,MCG-HI,30,0.13761467889908258,218
HC,2,MCG-HI,36,0.13846153846153847,260
HC,1,MCG-MI,13,0.05963302752293578,218
HC,2,MCG-MI,16,0.06153846153846154,260
HC,1,MCG-LI,9,0.04128440366972477,218
HC,2,MCG-LI,12,0.046153846153846156,260
HC,1,LCG-HI,22,0.10091743119266056,218
HC,2,LCG-HI,29,0.11153846153846154,260
HC,1,LCG-MI,12,0.05504587155963303,218
HC,2,LCG-MI,13,0.05,260
HC,1,LCG-LI,4,0.01834862385321101,218
HC,2,LCG-LI,1,0.0038461538461538464,260
LC,1,HCG-HI,3,0.01910828025477707,157
LC,1,HCG-MI,2,0.012738853503184714,157
LC,2,HCG-MI,5,0.043859649122807015,114
LC,1,HCG-LI,11,0.07006369426751592,157
LC,2,HCG-LI,10,0.08771929824561403,114
LC,1,MCG-HI,7,0.044585987261146494,157
LC,2,MCG-HI,3,0.02631578947368421,114
LC,1,MCG-MI,27,0.17197452229299362,157
LC,2,MCG-MI,12,0.10526315789473684,114
LC,1,MCG-LI,16,0.10191082802547771,157
LC,2,MCG-LI,16,0.14035087719298245,114
LC,1,LCG-HI,38,0.24203821656050956,157
LC,2,LCG-HI,31,0.2719298245614035,114
LC,1,LCG-MI,23,0.1464968152866242,157
LC,2,LCG-MI,22,0.19298245614035087,114
LC,1,LCG-LI,30,0.1910828025477707,157
LC,2,LCG-LI,15,0.13157894736842105,114
MC,1,HCG-HI,18,0.0861244019138756,209
MC,2,HCG-HI,9,0.05454545454545454,165
MC,1,HCG-MI,22,0.10526315789473684,209
MC,2,HCG-MI,12,0.07272727272727272,165
MC,1,HCG-LI,25,0.11961722488038277,209
MC,2,HCG-LI,14,0.08484848484848485,165
MC,1,MCG-HI,51,0.24401913875598086,209
MC,2,MCG-HI,32,0.19393939393939394,165
MC,1,MCG-MI,24,0.11483253588516747,209
MC,2,MCG-MI,22,0.13333333333333333,165
MC,1,MCG-LI,10,0.04784688995215311,209
MC,2,MCG-LI,19,0.11515151515151516,165
MC,1,LCG-HI,27,0.1291866028708134,209
MC,2,LCG-HI,31,0.18787878787878787,165
MC,1,LCG-MI,18,0.0861244019138756,209
MC,2,LCG-MI,13,0.07878787878787878,165
MC,1,LCG-LI,14,0.06698564593301436,209
MC,2,LCG-LI,13,0.07878787878787878,165
