table,row,quantity,published,reproduced,difference,match
Footnote F-tests,HC MCG-MI = MCG-LI,F,1.35,1.3497214607829329,-2.785392170672196e-4,TRUE
Footnote F-tests,HC MCG-HI = MCG-LI,F,26.26,26.255810160646785,-0.004189839353216485,TRUE
Footnote F-tests,HC LCG-HI = LCG-MI,F,9.74,9.74116367591005,0.001163675910049733,TRUE
Footnote F-tests,HC LCG-HI = LCG-LI,F,NA,41.808135200076485,NA,TRUE
Footnote F-tests,HC LCG-MI = LCG-LI,F,NA,13.937180423672457,NA,TRUE
Footnote F-tests,MC MCG-HI = LCG-HI,F,5.49,5.487747463570964,-0.0022525364290357786,TRUE
Footnote F-tests,MC MCG-MI = LCG-MI,F,3.26,3.2628980210728673,0.002898021072867518,TRUE
Footnote F-tests,MC MCG-LI = LCG-LI,F,NA,0.07701042634459512,NA,FALSE
Footnote F-tests,MC LCG-HI = LCG-MI,F,9.39,9.389074962881669,-9.250371183320283e-4,TRUE
Footnote F-tests,MC LCG-HI = LCG-LI,F,NA,12.941943170740226,NA,TRUE
Footnote F-tests,MC LCG-MI = LCG-LI,F,NA,0.2983701629836576,NA,TRUE
Table 6,HCR-MCG,HI,27.4,27.37777777778097,-0.022222222219028254,TRUE
Table 6,HCR-MCG,MI,34.87,34.84444444443403,-0.02555555556596545,TRUE
Table 6,HCR-MCG,LI,40.47,40.44444444444399,-0.025555555556010745,TRUE
Table 6,HCR-MCG,mean,34.25,34.22222222221966,-0.02777777778033652,TRUE
Table 6,HCR-MCG,sd,6.55,6.555517890661549,0.005517890661549174,TRUE
Table 6,HCR-LCG,HI,35.95,35.91304347826664,-0.03695652173336583,TRUE
Table 6,HCR-LCG,MI,36.56,36.521739130425026,-0.03826086957497665,TRUE
Table 6,HCR-LCG,LI,49.33,49.30434782608845,-0.025652173911545617,TRUE
Table 6,HCR-LCG,mean,40.61,40.57971014492671,-0.03028985507329196,TRUE
Table 6,HCR-LCG,sd,7.56,7.561884989861967,0.0018849898619670569,TRUE
Table 6,MCR-LCG,HI,22.56,22.58064516128704,0.020645161287042413,TRUE
Table 6,MCR-LCG,MI,17.16,13.548387096774755,-3.611612903225245,FALSE
Table 6,MCR-LCG,LI,0,1.8064516129034056,1.8064516129034056,FALSE
Table 6,MCR-LCG,mean,13.24,12.645161290321736,-0.5948387096782639,FALSE
Table 6,MCR-LCG,sd,11.78,10.4165081500236,-1.3634918499764002,FALSE
Table 3,Aggregate,responses,1123,1123,0,TRUE
Table 3,Aggregate,height_mean,63.2,63.2866184448463,0.08661844484629455,TRUE
Table 3,Aggregate,age_mean,25.1,25.10740072202166,0.007400722021657202,TRUE
Table 3,Aggregate,girl_working,192,192,0,TRUE
Table 3,Aggregate,education_below_bachelors,93,93,0,TRUE
Table 3,Aggregate,education_bachelors,632,632,0,TRUE
Table 3,Aggregate,education_above_bachelors,394,394,0,TRUE
Table 3,Aggregate,fair,379,379,0,TRUE
Table 3,Aggregate,medium_fair,318,318,0,TRUE
Table 3,Aggregate,very_fair,333,333,0,TRUE
Table 3,Aggregate,fairly_good_looking,644,644,0,TRUE
Table 3,Aggregate,medium_good_looking,239,239,0,TRUE
Table 3,Aggregate,very_good_looking,82,82,0,TRUE
Table 3,Aggregate,siblings_mean,2.14,2.13526119402985,-0.004738805970150306,TRUE
Table 3,Aggregate,unmarried_sisters_mean,1.13,1.1291184327693682,-8.815672306317079e-4,TRUE
Table 3,Aggregate,father_absent,77,77,0,TRUE
Table 3,Aggregate,own_house_or_apt,307,307,0,TRUE
Table 3,HC,responses,478,478,0,TRUE
Table 3,HC,height_mean,63.4,63.39102564102564,-0.008974358974356278,TRUE
Table 3,HC,age_mean,25.5,25.51068376068376,0.010683760683761534,TRUE
Table 3,HC,girl_working,89,89,0,TRUE
Table 3,HC,education_below_bachelors,24,24,0,TRUE
Table 3,HC,education_bachelors,267,267,0,TRUE
Table 3,HC,education_above_bachelors,185,185,0,TRUE
Table 3,HC,fair,168,168,0,TRUE
Table 3,HC,medium_fair,125,125,0,TRUE
Table 3,HC,very_fair,123,123,0,TRUE
Table 3,HC,fairly_good_looking,299,299,0,TRUE
Table 3,HC,medium_good_looking,73,73,0,TRUE
Table 3,HC,very_good_looking,36,36,0,TRUE
Table 3,HC,siblings_mean,2.19,2.197247706422018,0.007247706422018219,TRUE
Table 3,HC,unmarried_sisters_mean,1.15,1.1485355648535562,-0.0014644351464436767,TRUE
Table 3,HC,father_absent,24,24,0,TRUE
Table 3,HC,own_house_or_apt,116,116,0,TRUE
Table 3,MC,responses,374,374,0,TRUE
Table 3,MC,height_mean,62.9,62.981029810298104,0.08102981029810508,TRUE
Table 3,MC,age_mean,24.9,24.916216216216217,0.01621621621621827,TRUE
Table 3,MC,girl_working,52,52,0,TRUE
Table 3,MC,education_below_bachelors,37,37,0,TRUE
Table 3,MC,education_bachelors,205,205,0,TRUE
Table 3,MC,education_above_bachelors,131,131,0,TRUE
Table 3,MC,fair,130,130,0,TRUE
Table 3,MC,medium_fair,93,93,0,TRUE
Table 3,MC,very_fair,128,128,0,TRUE
Table 3,MC,fairly_good_looking,196,196,0,TRUE
Table 3,MC,medium_good_looking,100,100,0,TRUE
Table 3,MC,very_good_looking,22,22,0,TRUE
Table 3,MC,siblings_mean,2.16,2.1603260869565206,3.2608695652047714e-4,TRUE
Table 3,MC,unmarried_sisters_mean,1.12,1.1283422459893044,0.008342245989304331,TRUE
Table 3,MC,father_absent,25,25,0,TRUE
Table 3,MC,own_house_or_apt,111,111,0,TRUE
Table 3,LC,responses,271,271,0,TRUE
Table 3,LC,height_mean,63.5,63.52416356877323,0.02416356877323267,TRUE
Table 3,LC,age_mean,24.7,24.67037037037037,-0.02962962962962834,TRUE
Table 3,LC,girl_working,51,51,0,TRUE
Table 3,LC,education_below_bachelors,32,32,0,TRUE
Table 3,LC,education_bachelors,160,160,0,TRUE
Table 3,LC,education_above_bachelors,78,78,0,TRUE
Table 3,LC,fair,81,81,0,TRUE
Table 3,LC,medium_fair,100,100,0,TRUE
Table 3,LC,very_fair,82,82,0,TRUE
Table 3,LC,fairly_good_looking,149,149,0,TRUE
Table 3,LC,medium_good_looking,66,66,0,TRUE
Table 3,LC,very_good_looking,24,24,0,TRUE
Table 3,LC,siblings_mean,2,2,0,TRUE
Table 3,LC,unmarried_sisters_mean,1.1,1.095940959409594,-0.004059040590406182,TRUE
Table 3,LC,father_absent,28,28,0,TRUE
Table 3,LC,own_house_or_apt,80,80,0,TRUE
Table 2,Aggregate,ads,2777,2784,7,FALSE
Table 2,Aggregate,income_n,1261,1264,3,FALSE
Table 2,Aggregate,income_mean,15858,15867.4841772152,9.484177215199452,FALSE
Table 2,Aggregate,income_sd,9894,9908.580684410905,14.580684410904723,FALSE
Table 2,Aggregate,age_n,2776,2781,5,FALSE
Table 2,Aggregate,age_mean,32,31.89996580238141,-0.10003419761859078,TRUE
Table 2,Aggregate,height_n,2777,1469,-1308,FALSE
Table 2,Aggregate,height_mean,64.59,64.64193328795098,0.051933287950973295,TRUE
Table 2,Aggregate,height_sd,3.26,3.6714207494915527,0.41142074949155294,TRUE
Table 2,Aggregate,govt_job,2220,2224,4,FALSE
Table 2,Aggregate,po_box,1529,1553,24,FALSE
Table 2,Aggregate,caste_no_bar,104,105,1,FALSE
Table 2,Aggregate,looks_mentioned,1619,1621,2,FALSE
Table 2,Aggregate,education_not_mentioned,571,578,7,FALSE
Table 2,HC,ads,1368,1369,1,FALSE
Table 2,HC,income_n,527,527,0,TRUE
Table 2,HC,income_mean,17232,17231.49905123339,-0.5009487666102359,TRUE
Table 2,HC,income_sd,8376,8375.99742834702,-0.002571652979895589,TRUE
Table 2,HC,age_n,1368,1368,0,TRUE
Table 2,HC,age_mean,32,32.3163778482622,0.3163778482621993,TRUE
Table 2,HC,height_n,1368,101,-1267,FALSE
Table 2,HC,height_mean,64.41,60.6039603960396,-3.8060396039604,FALSE
Table 2,HC,height_sd,3.12,3.0399973944751744,-0.08000260552482574,TRUE
Table 2,HC,govt_job,1100,1100,0,TRUE
Table 2,HC,po_box,802,802,0,TRUE
Table 2,HC,caste_no_bar,45,45,0,TRUE
Table 2,HC,looks_mentioned,779,779,0,TRUE
Table 2,HC,education_not_mentioned,275,276,1,FALSE
Table 2,MC,ads,768,774,6,FALSE
Table 2,MC,income_n,375,378,3,FALSE
Table 2,MC,income_mean,16714,16737.433862433918,23.433862433917966,FALSE
Table 2,MC,income_sd,12317,12337.26996816952,20.269968169519416,FALSE
Table 2,MC,age_n,768,773,5,FALSE
Table 2,MC,age_mean,31,31.44760672703752,0.44760672703752036,TRUE
Table 2,MC,height_n,768,739,-29,FALSE
Table 2,MC,height_mean,65.33,65.61028416779432,0.28028416779432064,TRUE
Table 2,MC,height_sd,3.21,3.4483729795951765,0.23837297959517656,TRUE
Table 2,MC,govt_job,591,595,4,FALSE
Table 2,MC,po_box,381,405,24,FALSE
Table 2,MC,caste_no_bar,15,16,1,FALSE
Table 2,MC,looks_mentioned,406,408,2,FALSE
Table 2,MC,education_not_mentioned,196,202,6,FALSE
Table 2,LC,ads,641,641,0,TRUE
Table 2,LC,income_n,359,359,0,TRUE
Table 2,LC,income_mean,12949,12949.1643454039,0.16434540390037,TRUE
Table 2,LC,income_sd,8421,8421.840745013382,0.8407450133818202,FALSE
Table 2,LC,age_n,640,640,0,TRUE
Table 2,LC,age_mean,32,31.55625,-0.4437500000000014,TRUE
Table 2,LC,height_n,641,629,-12,FALSE
Table 2,LC,height_mean,64.08,64.15262321144675,0.07262321144675354,TRUE
Table 2,LC,height_sd,3.45,3.4781731083283662,0.02817310832836606,TRUE
Table 2,LC,govt_job,529,529,0,TRUE
Table 2,LC,po_box,346,346,0,TRUE
Table 2,LC,caste_no_bar,44,44,0,TRUE
Table 2,LC,looks_mentioned,434,434,0,TRUE
Table 2,LC,education_not_mentioned,100,100,0,TRUE
