table,row,quantity,published,reproduced,difference,match
Table 4,HCG-HI,HC,110,110,0,TRUE
Table 4,HCG-HI,MC,27,27,0,TRUE
Table 4,HCG-HI,LC,3,3,0,TRUE
Table 4,HCG-MI,HC,85,85,0,TRUE
Table 4,HCG-MI,MC,34,34,0,TRUE
Table 4,HCG-MI,LC,7,7,0,TRUE
Table 4,HCG-LI,HC,86,86,0,TRUE
Table 4,HCG-LI,MC,39,39,0,TRUE
Table 4,HCG-LI,LC,21,21,0,TRUE
Table 4,MCG-HI,HC,66,66,0,TRUE
Table 4,MCG-HI,MC,83,83,0,TRUE
Table 4,MCG-HI,LC,10,10,0,TRUE
Table 4,MCG-MI,HC,29,29,0,TRUE
Table 4,MCG-MI,MC,46,46,0,TRUE
Table 4,MCG-MI,LC,39,39,0,TRUE
Table 4,MCG-LI,HC,21,21,0,TRUE
Table 4,MCG-LI,MC,29,29,0,TRUE
Table 4,MCG-LI,LC,32,32,0,TRUE
Table 4,LCG-HI,HC,51,51,0,TRUE
Table 4,LCG-HI,MC,58,58,0,TRUE
Table 4,LCG-HI,LC,69,69,0,TRUE
Table 4,LCG-MI,HC,25,25,0,TRUE
Table 4,LCG-MI,MC,31,31,0,TRUE
Table 4,LCG-MI,LC,45,45,0,TRUE
Table 4,LCG-LI,HC,5,5,0,TRUE
Table 4,LCG-LI,MC,27,27,0,TRUE
Table 4,LCG-LI,LC,45,45,0,TRUE
Table 5,HCG-HI,HC_est,0.2197,0.21966527196654487,-3.4728033455139196e-5,TRUE
Table 5,HCG-HI,HC_se,0.0198,0.01982727304825627,2.7273048256268306e-5,TRUE
Table 5,HCG-HI,MC_est,-0,-1.8299770612228365e-15,-1.8299770612228365e-15,TRUE
Table 5,HCG-HI,MC_se,0.019,0.018951151313284256,-4.884868671574394e-5,TRUE
Table 5,HCG-HI,LC_est,-0.155,-0.15498154981550008,1.845018449991853e-5,TRUE
Table 5,HCG-HI,LC_p,0,5.449128591769704e-11,5.449128591769704e-11,TRUE
Table 5,HCG-MI,HC_est,0.1674,0.16736401673636778,-3.59832636322166e-5,TRUE
Table 5,HCG-MI,HC_se,0.0181,0.01811642014170156,1.6420141701559837e-5,TRUE
Table 5,HCG-MI,MC_est,0.0187,0.018716577540112102,1.6577540112101136e-5,TRUE
Table 5,HCG-MI,MC_se,0.02,0.02002849059733862,2.8490597338618612e-5,TRUE
Table 5,HCG-MI,LC_est,-0.1402,-0.1402214022140278,-2.1402214027799182e-5,TRUE
Table 5,HCG-MI,LC_p,0,1.3766126628386032e-8,1.3766126628386032e-8,TRUE
Table 5,HCG-LI,HC_est,0.1695,0.1694560669456102,-4.393305438982198e-5,TRUE
Table 5,HCG-LI,HC_se,0.0182,0.01819399713857306,-6.002861426941675e-6,TRUE
Table 5,HCG-LI,MC_est,0.0321,0.032085561497326685,-1.443850267331126e-5,TRUE
Table 5,HCG-LI,MC_se,0.0207,0.02073611246570146,3.611246570146137e-5,TRUE
Table 5,HCG-LI,LC_est,-0.0886,-0.0885608856088547,3.911439114530346e-5,TRUE
Table 5,HCG-LI,LC_p,0.002,0.0015130453847422543,-4.8695461525774574e-4,TRUE
Table 5,MCG-HI,HC_est,0.1276,0.1276150627615097,1.5062761509698763e-5,TRUE
Table 5,MCG-HI,HC_se,0.0165,0.016468084610260707,-3.191538973929334e-5,TRUE
Table 5,MCG-HI,MC_est,0.1497,0.1497326203208518,3.2620320851800555e-5,TRUE
Table 5,MCG-HI,MC_se,0.0253,0.025347722431492137,4.77224314921372e-5,TRUE
Table 5,MCG-HI,LC_est,-0.1292,-0.1291512915129158,4.870848708421471e-5,TRUE
Table 5,MCG-HI,LC_p,0,3.9102173907411154e-7,3.9102173907411154e-7,TRUE
Table 5,MCG-MI,HC_est,0.0502,0.050209205020917115,9.205020917113504e-6,TRUE
Table 5,MCG-MI,HC_se,0.0119,0.011881623264849992,-1.837673515000908e-5,TRUE
Table 5,MCG-MI,MC_est,0.0508,0.050802139037436266,2.139037436267588e-6,TRUE
Table 5,MCG-MI,MC_se,0.0217,0.02165088103317969,-4.911896682031208e-5,TRUE
Table 5,MCG-MI,LC_est,-0.0221,-0.02214022140221325,-4.0221402213248825e-5,TRUE
Table 5,MCG-MI,LC_p,0.477,0.47704146223681754,4.1462236817557674e-5,TRUE
Table 5,MCG-LI,HC_est,0.0335,0.03347280334728014,-2.7196652719864434e-5,TRUE
Table 5,MCG-LI,HC_se,0.0105,0.01047646612116484,-2.3533878835160088e-5,TRUE
Table 5,MCG-LI,MC_est,0.0053,0.005347593582888445,4.7593582888445264e-5,TRUE
Table 5,MCG-LI,MC_se,0.0193,0.01927008496764237,-2.991503235763235e-5,TRUE
Table 5,MCG-LI,LC_est,-0.048,-0.04797047970479712,2.952029520288113e-5,TRUE
Table 5,MCG-LI,LC_p,0.11,0.10966665294642956,-3.333470535704375e-4,TRUE
Table 5,LCG-HI,HC_est,0.0962,0.09623430962343002,3.430962343002608e-5,TRUE
Table 5,LCG-HI,HC_se,0.0149,0.014883310309169596,-1.6689690830403586e-5,TRUE
Table 5,LCG-HI,MC_est,0.0829,0.08288770053476262,-1.2299465237383678e-5,TRUE
Table 5,LCG-HI,MC_se,0.023,0.023040417660201595,4.0417660201595706e-5,TRUE
Table 5,LCG-HI,LC_est,0.0886,0.08856088560885299,-3.911439114701043e-5,TRUE
Table 5,LCG-HI,LC_p,0.011,0.01115097123925143,1.509712392514309e-4,TRUE
Table 5,LCG-MI,HC_est,0.0418,0.041841004184101256,4.100418410125928e-5,TRUE
Table 5,LCG-MI,HC_se,0.0112,0.011207652009923774,7.652009923773961e-6,TRUE
Table 5,LCG-MI,MC_est,0.0107,0.010695187165775269,-4.812834224730833e-6,TRUE
Table 5,LCG-MI,MC_se,0.0196,0.01957991009690602,-2.0089903093978984e-5,TRUE
Table 5,LCG-MI,LC_est,-0,7.253201926410201e-16,7.253201926410201e-16,TRUE
Table 5,LCG-MI,LC_p,1,0.999999999999982,-1.7985612998927536e-14,TRUE
Table 5,Constant,HC_est,0.0105,0.010460251046026523,-3.974895397347751e-5,TRUE
Table 5,Constant,HC_se,0.0047,0.004658311071841175,-4.1688928158824766e-5,TRUE
Table 5,Constant,MC_est,0.0722,0.07219251336898384,-7.486631016156986e-6,TRUE
Table 5,Constant,MC_se,0.0134,0.013400487604916723,4.876049167230195e-7,TRUE
Table 5,Constant,LC_est,0.1661,0.16605166051660675,-4.833948339325045e-5,TRUE
Table 5,Constant,LC_p,0,3.068201745527617e-13,3.068201745527617e-13,TRUE
Table 5 fit,HC,n,4302,4302,0,TRUE
Table 5 fit,MC,n,3366,3366,0,TRUE
Table 5 fit,LC,n,2439,2439,0,TRUE
Table 5 fit,HC,r2,0.05,0.050335034400658486,3.350344006584835e-4,TRUE
Table 5 fit,MC,r2,0.02,0.02223219136949977,0.002232191369499769,TRUE
Table 5 fit,LC,r2,0.058,0.05813169755313841,1.3169755313841014e-4,TRUE
Footnote F-tests,HC HCG-HI = MCG-HI,F,13.65,13.64629388816928,-0.0037061118307200047,TRUE
Footnote F-tests,HC HCG-HI = LCG-HI,F,26.67,26.670687633524786,6.876335247838483e-4,TRUE
Footnote F-tests,HC MCG-HI = LCG-HI,F,2.19,2.191692703547701,0.0016927035477012353,TRUE
Footnote F-tests,HC HCG-MI = MCG-MI,F,32.22,32.220566062106656,5.660621066567728e-4,TRUE
Footnote F-tests,HC HCG-MI = LCG-MI,F,38.39,38.390342052295544,3.4205229554373773e-4,TRUE
Footnote F-tests,HC MCG-MI = LCG-MI,F,0.31,0.31348065390586843,0.003480653905868436,TRUE
Footnote F-tests,HC HCG-LI = MCG-LI,F,46.53,46.53363042324265,0.003630423242647396,TRUE
Footnote F-tests,HC HCG-LI = LCG-LI,F,NA,86.74770629489818,NA,TRUE
Footnote F-tests,HC MCG-LI = LCG-LI,F,NA,10.208326366832896,NA,TRUE
Footnote F-tests,HC MCG-HI = MCG-MI,F,16.24,16.238853107206758,-0.0011468927932405393,TRUE
