responder_caste,groom_caste,income_level,own_share,groom_income,income_linear_ls,income_log,compensation_linear_ls_k,compensation_log_k,compensation_paper_k
HC,MC,HI,0.2301255230125523,35000,62131.78294573643,192746.37811337848,27.13178294573643,157.74637811337848,27.37777777778097
HC,MC,MI,0.17782426778242677,15000,47015.50387596899,79556.43659149983,32.015503875968996,64.55643659149983,34.84444444443403
HC,MC,LI,0.1799163179916318,7000,47620.15503875969,82422.87489535178,40.620155038759684,75.42287489535178,40.44444444444399
HC,LC,HI,0.2301255230125523,35000,71634.14634146342,280468.229522342,36.63414634146342,245.46822952234197,35.91304347826664
HC,LC,MI,0.17782426778242677,15000,55780.48780487806,117091.90676425929,40.78048780487806,102.09190676425929,36.521739130425026
HC,LC,LI,0.1799163179916318,7000,56414.63414634147,121255.4171506952,49.41463414634147,114.2554171506952,49.30434782608845
MC,LC,HI,0.22192513368983957,35000,57422.22222222221,149979.0791739171,22.42222222222221,114.9790791739171,22.58064516128704
MC,LC,MI,0.12299465240641712,15000,25355.55555555556,22479.33368422487,10.355555555555558,7.479333684224868,13.548387096774755
MC,LC,LI,0.07754010695187166,7000,10622.222222222223,9398.861255558251,3.6222222222222227,2.398861255558251,1.8064516129034058
