responder_caste,groom_caste,income_level,estimate,se_delta,lower_delta,upper_delta,boot_median,lower_boot,upper_boot,boot_share_above_100k
HC,MC,HI,27.377777777777773,12.260193199545215,3.34779910666915,51.407756448886396,27.404255319148934,8.652697947214078,61.423870967741905,0.002
HC,MC,MI,34.84444444444444,9.813212858450491,15.61054724188148,54.078341647007406,34.57071339173967,19.70111111111111,62.32258064516129,0.0015
HC,MC,LI,40.44444444444444,9.39229660391709,22.035543100766947,58.85334578812194,40.09950859950861,26.351260504201676,67.89064171122988,5e-4
HC,LC,HI,35.91304347826087,11.927186680804615,12.535757583883822,59.29032937263791,36.08888888888888,17.306188197767142,67.88181818181816,5e-4
HC,LC,MI,36.52173913043478,8.721019955120227,19.428540018399136,53.61493824247043,37.10000000000001,22.400000000000002,59.68543859649122,5e-4
HC,LC,LI,49.30434782608696,9.56695218095889,30.55312155140754,68.05557410076638,49.292173913043484,33.96540120793788,73.82434017595304,0.001
MC,LC,HI,22.580645161290317,15.376854848080388,-7.557990340947242,52.719280663527876,22.400000000000006,0,83.99999999999999,0.015
MC,LC,MI,13.548387096774196,8.891208427891156,-3.8783814218924704,30.975155615440862,13.649781113195747,-2.1559999999999975,42.02058823529402,0.0025
MC,LC,LI,1.8064516129032282,6.567509256474897,-11.06586652978757,14.678769755594026,1.8162692847124826,-18.005,14.826274509803905,0.001
