responder_caste,alternative_caste,own_share_7k,own_share_35k,alternative_share_35k,own_income_at_par,sacrifice_k,sacrifice_share_of_35k,at_design_bound,sacrifice_lower,sacrifice_upper,share_draws_at_bound
HC,MC,0.1799163179916318,0.2301255230125523,0.13807531380753138,NA,28,0.8,TRUE,24.000000000000004,28,0.949
HC,LC,0.1799163179916318,0.2301255230125523,0.10669456066945607,NA,28,0.8,TRUE,28,28,1
MC,HC,0.07754010695187166,0.22192513368983957,0.07219251336898395,NA,28,0.8,TRUE,22.22121212121212,28,0.6375
MC,LC,0.07754010695187166,0.22192513368983957,0.15508021390374332,21486.486486486487,13.513513513513514,0.3861003861003861,FALSE,2.0512820512820547,22.889999999999993,0.001
LC,HC,0.16605166051660517,0.25461254612546125,0.01107011070110701,NA,28,0.8,TRUE,28,28,1
LC,MC,0.16605166051660517,0.25461254612546125,0.03690036900369004,NA,28,0.8,TRUE,28,28,1
