responder_caste,responses,height_mean,height_sd,age_mean,age_sd,girl_working,education_below_bachelors,education_bachelors,education_above_bachelors,fair,medium_fair,very_fair,fairly_good_looking,medium_good_looking,very_good_looking,siblings_mean,siblings_sd,unmarried_sisters_mean,unmarried_sisters_sd,father_absent,own_house_or_apt
Aggregate,1123,63.2866184448463,2.7091502320978473,25.10740072202166,2.2676028901199605,192,93,632,394,379,318,333,644,239,82,2.13526119402985,0.9552973475748417,1.1291184327693682,0.33812662465920307,77,307
HC,478,63.39102564102564,2.9620881819466485,25.51068376068376,2.3717405589131246,89,24,267,185,168,125,123,299,73,36,2.197247706422018,1.0114706457609692,1.1485355648535562,0.36184356423718295,24,116
MC,374,62.981029810298104,2.5584829110576734,24.916216216216217,2.1717593074991566,52,37,205,131,130,93,128,196,100,22,2.1603260869565206,0.9447124627349696,1.1283422459893044,0.3349185495497008,25,111
LC,271,63.52416356877323,2.4042041355476096,24.67037037037037,2.0976734881909866,51,32,160,78,81,100,82,149,66,24,2,0.8611463486004369,1.0959409594095941,0.29505514271410194,28,80
