groom,groom_caste,income_level,HC,MC,LC
HCG-HI,HC,HI,110,27,3
HCG-MI,HC,MI,85,34,7
HCG-LI,HC,LI,86,39,21
MCG-HI,MC,HI,66,83,10
MCG-MI,MC,MI,29,46,39
MCG-LI,MC,LI,21,29,32
LCG-HI,LC,HI,51,58,69
LCG-MI,LC,MI,25,31,45
LCG-LI,LC,LI,5,27,45
