responder_caste,groom_caste,income_level,LI-HI,LI-MI,MI-HI
HC,MC,HI,27.37777777778097,44.0000000000152,23.783783783785378
HC,MC,MI,34.84444444443403,55.999999999996085,30.270270270259726
HC,MC,LI,40.44444444444399,65.00000000001415,35.135135135133005
HC,LC,HI,35.91304347826664,23.60000000000308,45.38461538462372
HC,LC,MI,36.521739130425026,23.99999999999287,46.15384615383489
HC,LC,LI,49.30434782608845,32.40000000000001,62.307692307695646
MC,LC,HI,22.58064516128704,49.99999999999534,18.518518518515684
MC,LC,MI,13.548387096774755,30.00000000000281,11.111111111111486
MC,LC,LI,1.8064516129034058,4.0000000000006075,1.4814814814816175
