attribute,pc1,pc2
height_in,0.07020602845733086,0.3156822727718989
age,0.2030462332636898,-0.32287953105920697
education,0.3863730327038317,-0.377427153793362
complexion,0.3434836488246833,-0.0070841647740860075
looks,0.40258419782079957,0.18361700539247688
girl_working,0.3571497899959873,-0.4194781590621427
unmdaughters,-0.33342765803923086,-0.010435628398847594
father_absent,-0.198357900990403,0.2317123168411871
own_residence,0.36898848029330955,0.45926045943333843
own_car,0.33207805688692504,0.4233146217118822
