responder_caste,parameter,estimate,se,deviance_vs_saturated
HC,MC_vs_HC,-1.5926944529645657,0.24603428366949243,7.6106860243401115
HC,LC_vs_HC,-2.3745705054762682,0.31375404233446774,7.6106860243401115
HC,income_HC,0.009724860300644478,0.004960006967932983,7.6106860243401115
HC,income_MC,0.040959315883238874,0.007833545528668136,7.6106860243401115
HC,income_LC,0.05719746540172749,0.009924397121339499,7.6106860243401115
MC,MC_vs_HC,-0.5232978998143822,0.2554568888183154,0.7866145361977033
MC,LC_vs_HC,-0.6863128389866556,0.27143959458193956,0.7866145361977033
MC,income_HC,-0.012945368473618173,0.008885883998571785,0.7866145361977033
MC,income_MC,0.0346980696474365,0.006624654886548112,0.7866145361977033
MC,income_LC,0.028508495847243957,0.007669201137770201,0.7866145361977033
