"letter_id","duplicate_profile","edition","responder_caste","repeat_letter","groomid","groom","groom_caste","groom_income","income_level","height_in","age","education","education_raw","sons","daughters","unmdaughters","girl_working","father_occupation","father_absent","father_govt","father_private","father_business","father_retired","mother_occupation","mother_absent","mother_housewife","complexion_raw","complexion","looks_raw","looks","bride_income_pm","family_wealth_raw","own_house","own_apartment","own_land","own_car","profile_id"
11,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"masters","m.a",1,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"fair","fair","good looks","good",NA,"flat owner",0,1,0,0,66
12,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,26,"masters","m.a",0,1,1,0,"govt. employee",0,1,0,0,0,"govt. employee",0,0,"very fair","very_fair","good looks","good",NA,"flat owner",0,1,0,0,84
13,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,27,"masters","m.a",0,1,1,1,"Retired",0,0,0,0,1,"govt. employee",0,0,"medium fair","medium_fair","",NA,NA,"flat owner",0,1,0,0,184
14,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,23,"masters","m.sc",NA,2,1,0,"govt. employee",0,1,0,0,0,"nm",0,0,"nm",NA,"",NA,NA,"flat owner",0,1,0,0,25
15,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",64,25,"masters","m.a",2,1,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"nm",NA,"",NA,NA,"flat owner",0,1,0,0,600
16,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,28,"masters","m.sc",0,1,1,1,"Business",0,0,0,1,0,"nm",0,0,"nm",NA,"",NA,NA,"flat owner, car",0,1,0,1,195
17,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",64,27,"masters","m.a",0,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"poorly fair","fair","medium looks","fair",NA,"flat owner, car owner",0,1,0,1,607
18,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,29,"bachelors","b.a",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"medium fair","medium_fair","medium looks","fair",NA,"flat owner, own car",0,1,0,1,104
19,FALSE,1,"LC",FALSE,1,"HCG-HI","HC",35000,"HI",63,24,"bachelors","b.com",1,1,1,1,"govt employee",0,1,0,0,0,"absent",1,0,"medium fair","medium_fair","very good looks","very_good",NA,"flat, car owner",0,1,0,1,330
20,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,27,"bachelors","b.com",0,1,1,0,"Business",0,0,0,1,0,"teacher",0,0,"fair","fair","good looks","good",NA,"house owner",1,0,0,0,90
21,FALSE,1,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",63,26,"masters","m.a",0,1,1,0,"govt employee",0,1,0,0,0,"govt. employee",0,0,"very fair","very_fair","good looks","good",NA,"house owner",1,0,0,0,239
22,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,27,"masters","m.a",0,1,1,1,"Retired",0,0,0,0,1,"govt. employee",0,0,"very fair","very_fair","good looks","good",NA,"house owner",1,0,0,0,95
23,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"bachelors","b.a",0,2,1,1,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","good looks","good",NA,"house owner",1,0,0,0,492
24,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,25,"masters","m.phil",1,1,1,0,"govt. employee",0,1,0,0,0,"lecturer",0,0,"medium fair","medium_fair","medium looks","fair",NA,"house owner",1,0,0,0,134
25,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"bachelors","b.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"house owner",1,0,0,0,494
26,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,24,"masters","m.com",0,1,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"house owner",1,0,0,0,127
27,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",63,24,"bachelors","b.com",0,1,1,0,"Retired",0,0,0,0,1,"retired",0,0,"very fair","very_fair","medium looks","fair",NA,"house owner",1,0,0,0,555
28,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,26,"masters","m.a",1,1,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair","fair","very good looks","very_good",NA,"house owner",1,0,0,0,144
29,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,29,"masters","mba",0,1,1,0,"Retired",0,0,0,0,1,"govt. employee",0,0,"very fair","very_fair","very good looks","very_good",NA,"house owner",1,0,0,0,106
30,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,25,"masters","m.sc",0,NA,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","very good looks","very_good",NA,"house owner",1,0,0,0,82
31,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,23,"bachelors","b.a",0,1,1,1,"absent",1,0,0,0,0,"teacher",0,0,"very fair","very_fair","very good looks","very_good",NA,"house owner",1,0,0,0,57
32,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",60,26,"masters","m.a",0,1,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"",NA,"good looks","good",NA,"house owner",1,0,0,0,434
33,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,26,"bachelors","b.sc",1,1,1,0,"govt employee",0,1,0,0,0,"retired",0,0,"very fair","very_fair","good looks","good",NA,"house owner",1,0,0,0,14
34,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",67,26,"bachelors","b.sc",0,1,1,1,"govt employee",0,1,0,0,0,"retired",0,0,"very vfair","very_fair","good looks","good",NA,"house owner",1,0,0,0,621
35,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,26,"masters","m.a",0,1,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair","fair","medium looks","fair",NA,"house owner",1,0,0,0,141
36,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",NA,25,"masters","m.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"",NA,"medium looks","fair",NA,"house owner",1,0,0,0,210
37,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,26,"masters","m.a",0,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair","fair","",NA,NA,"house owner",1,0,0,0,85
38,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,26,"masters","m.sc",0,NA,1,1,"Retired",0,0,0,0,1,"housewife",0,1,"fair","fair","",NA,NA,"house owner",1,0,0,0,38
39,FALSE,1,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",63,24,"masters","m.sc",0,1,1,0,"govt. employee",0,1,0,0,0,"teacher",0,0,"nm",NA,"",NA,NA,"house owner",1,0,0,0,235
40,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,27,"bachelors","b.sc",0,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","",NA,NA,"house owner",1,0,0,0,150
41,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",64,23,"bachelors","b.sc",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","",NA,NA,"house owner",1,0,0,0,592
42,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,28,"masters","m.a",1,NA,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","",NA,NA,"house owner",1,0,0,0,102
43,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,31,"phd","phd",1,1,1,0,"Business",0,0,0,1,0,"retired",0,0,"very fair","very_fair","medium looks","fair",NA,"house owner, brother in uk",1,0,0,0,52
44,FALSE,1,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",63,24,"bachelors","b.com",2,2,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair","fair","",NA,NA,"sister in uk",0,0,0,0,234
45,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,26,"bachelors","b.a",1,1,1,0,"govt. employee",0,1,0,0,0,"govt. employee",0,0,"fair","fair","medium looks","fair",NA,"two houses in calcutta",0,0,0,0,139
46,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,25,"masters","m.sc",1,1,1,1,"Business",0,0,0,1,0,"housewife",0,1,"fair","fair","good looks","good",NA,"",NA,NA,NA,NA,136
47,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,27,"masters","m.tech",0,1,1,1,"govt employee",0,1,0,0,0,"govt. employee",0,0,"medium fair","medium_fair","good looks","good",NA,"",NA,NA,NA,NA,187
48,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,28,"bachelors","b.e",0,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","good looks","good",NA,"",NA,NA,NA,NA,101
49,FALSE,1,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",64,27,"masters","m.a",1,1,1,0,"Business",0,0,0,1,0,"govt. employee",0,0,"very fair","very_fair","good looks","good",NA,"",NA,NA,NA,NA,241
50,FALSE,1,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",61,28,"masters","mca",0,1,1,0,"Business",0,0,0,1,0,"govt. employee",0,0,"very fair","very_fair","good looks","good",NA,"",NA,NA,NA,NA,225
51,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,26,"masters","m.sc",1,2,1,1,"Retired",0,0,0,0,1,"teacher",0,0,"very fair","very_fair","good looks","good",NA,"",NA,NA,NA,NA,528
52,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,27,"bachelors","mbbs",NA,1,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"poorly fair","fair","medium looks","fair",NA,"",NA,NA,NA,NA,189
53,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",64,28,"masters","mba",0,1,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"fair","fair","medium looks","fair",NA,"",NA,NA,NA,NA,617
54,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,28,"masters","mba",0,1,1,1,"Business",0,0,0,1,0,"lecturer",0,0,"fair","fair","medium looks","fair",NA,"",NA,NA,NA,NA,197
55,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,22,"masters","m.a",1,1,1,0,"Business",0,0,0,1,0,"housewife",0,1,"medium fair","medium_fair","medium looks","fair",NA,"",NA,NA,NA,NA,118
56,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,23,"masters","m.com",1,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium fair","medium_fair","medium looks","fair",NA,"",NA,NA,NA,NA,171
57,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"bachelors","b.com",1,1,1,1,"Retired",0,0,0,0,1,"retired",0,0,"very fair","very_fair","medium looks","fair",NA,"",NA,NA,NA,NA,497
58,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,28,"masters","m.sc",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"",NA,NA,NA,NA,103
59,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",57,26,"masters","m.sc",0,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"",NA,NA,NA,NA,6
60,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,28,"bachelors","b.sc",0,1,1,0,"Retired",0,0,0,0,1,"nm",0,0,"Very fair","very_fair","very good look","very_good",NA,"",NA,NA,NA,NA,190
61,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,27,"masters","m.a",1,1,1,1,"govt. employee",0,1,0,0,0,"teacher",0,0,"very fair","very_fair","very good looks","very_good",12000,"",NA,NA,NA,NA,42
62,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,25,"bachelors","B.tech",1,2,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","very good looks","very_good",NA,"",NA,NA,NA,NA,70
63,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,29,"masters","mba",2,1,1,1,"Retired",0,0,0,0,1,"housewife",0,1,"Very fair","very_fair","good look","good",25000,"",NA,NA,NA,NA,21
64,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,27,"masters","m.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"fair","fair","good looks","good",NA,"",NA,NA,NA,NA,152
65,FALSE,1,"LC",FALSE,1,"HCG-HI","HC",35000,"HI",63,27,"masters","m.a",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","good looks","good",NA,"",NA,NA,NA,NA,349
66,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,29,"masters","m.a",0,1,1,0,"govt. employee",0,1,0,0,0,"absent",1,0,"",NA,"medium looks","fair",NA,"",NA,NA,NA,NA,159
67,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"masters","m.a",0,1,1,0,"govt. employee",0,1,0,0,0,"govt. employee",0,0,"",NA,"medium looks","fair",NA,"",NA,NA,NA,NA,32
68,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"bachelors","b.sc",0,1,1,0,"nm",0,0,0,0,0,"nm",0,0,"",NA,"medium looks","fair",NA,"",NA,NA,NA,NA,455
69,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"bachelors","b.sc",1,NA,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair","fair","",NA,NA,"",NA,NA,NA,NA,30
70,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",67,27,"masters","m.a",2,1,1,0,"Business",0,0,0,1,0,"nm",0,0,"fair","fair","",NA,NA,"",NA,NA,NA,NA,206
71,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,23,"masters","m.com",NA,3,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"medium fair","medium_fair","",NA,NA,"",NA,NA,NA,NA,173
72,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,26,"masters","m.a",NA,1,1,1,"govt. employee",0,1,0,0,0,"nm",0,0,"nm",NA,"",NA,NA,"",NA,NA,NA,NA,37
73,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",61,22,"masters","mca",0,1,1,0,"Retired",0,0,0,0,1,"teacher",0,0,"nm",NA,"",NA,NA,"",NA,NA,NA,NA,445
74,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",66,28,"masters","mba",0,1,1,0,"professor",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","",NA,NA,"",NA,NA,NA,NA,203
75,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",64,26,"bachelors","b.a",0,2,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","",NA,NA,"",NA,NA,NA,NA,601
76,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,26,"masters","m.a",1,1,1,0,"govt. employee",0,1,0,0,0,"teacher",0,0,"very fair","very_fair","",NA,NA,"",NA,NA,NA,NA,180
77,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,23,"masters","m.sc",0,1,1,1,"nm",0,0,0,0,0,"govt. employee",0,0,"very fair","very_fair","",NA,NA,"",NA,NA,NA,NA,124
78,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",69,27,"bachelors","b.com",1,1,1,0,"Retired",0,0,0,0,1,"govt. employee",0,0,"fair, medium looks","fair","","fair",NA,"house owner",1,0,0,0,896
79,FALSE,2,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",68,27,"bachelors","b.sc",0,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"fair,medium looks","fair","","fair",NA,"flat owner",0,1,0,0,1278
80,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,26,"masters","m.a",2,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"poorly fair, medium looks","fair","","fair",NA,"",0,0,0,0,775
81,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,25,"masters","m.a",0,1,1,0,"Business",0,0,0,1,0,"housewife",0,1,"fair looks",NA,"","fair",NA,"",0,0,0,0,661
82,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",69,23,"bachelors","b.a",1,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair, good looks","fair","","good",NA,"car owner",0,0,0,1,887
83,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",67,27,"bachelors","b.sc",0,1,1,0,"Business",0,0,0,1,0,"nm",0,0,"fair, good looks","fair","","good",NA,"house owner",1,0,0,0,850
84,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,24,"masters","m.a",1,1,1,1,"pvt employee",0,0,1,0,0,"housewife",0,1,"fair, good looks","fair","","good",NA,"house owner",1,0,0,0,737
85,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,24,"bachelors","bba",0,2,1,0,"govt employee",0,1,0,0,0,"govt. employee",0,0,"fair, Medium good looks","fair","","fair",NA,"house owner",1,0,0,0,766
86,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,26,"bachelors","b.com",1,1,1,0,"pvt employee",0,0,1,0,0,"govt. employee",0,0,"fair, Medium good looks","fair","","fair",NA,"two houses in calcutta",1,0,0,0,714
87,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",68,26,"bachelors","b.com",1,3,2,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair, Medium good looks","fair","","fair",NA,"",0,0,0,0,870
88,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,27,"bachelors","b.tech",1,1,1,0,"govt. employee",0,1,0,0,0,"retired",0,0,"fair, medium looks","fair","","fair",NA,"car owner",0,0,0,1,724
89,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",68,31,"masters","mba",1,2,1,0,"Business",0,0,0,1,0,"absent",1,0,"fair, medium looks","fair","","fair",NA,"house owner, brother in usa",1,0,0,0,886
90,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",68,26,"bachelors","b.tech",1,1,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"fair, medium looks","fair","","fair",NA,"",0,0,0,0,871
91,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",65,22,"masters","m.a",1,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"fair, very good looks","fair","","very_good",NA,"house owner",1,0,0,0,783
92,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,21,"bachelors","b.a",1,1,1,1,"Retired",0,0,0,0,1,"housewife",0,1,"fair,good looks","fair","","good",NA,"",0,0,0,0,699
93,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",65,28,"masters","m.com",0,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"fair,good looks","fair","","good",NA,"",0,0,0,0,802
94,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",68,29,"bachelors","b.sc",0,1,1,0,"govt employee",0,1,0,0,0,"govt. employee",0,0,"good looks",NA,"","good",NA,"",0,0,0,0,883
95,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",72,23,"masters","m.com",0,1,1,1,"Retired",0,0,0,0,1,"retired",0,0,"medium fair","medium_fair","",NA,NA,"flat owner",0,1,0,0,903
96,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"masters","m.a",1,2,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"medium fair","medium_fair","",NA,NA,"",0,0,0,0,684
97,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,25,"masters","m.sc",1,1,1,0,"govt. employee",0,1,0,0,0,"govt. employee",0,0,"medium fair, good looks","medium_fair","","good",NA,"car owner",0,0,0,1,742
98,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",69,23,"masters","m.tech",3,1,1,1,"govt employee",0,1,0,0,0,"govt. employee",0,0,"medium fair, good looks","medium_fair","","good",NA,"father was pilot",0,0,0,0,890
99,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,28,"masters","m.com",NA,1,1,1,"govt. employee",0,1,0,0,0,"retired",0,0,"medium fair, good looks","medium_fair","","good",NA,"",0,0,0,0,728
100,FALSE,2,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",62,22,"bachelors","b.sc",0,2,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium fair, medium good looks","medium_fair","","fair",NA,"sister in uk",0,0,0,0,920
101,FALSE,2,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",69,23,"masters","m.sc",0,2,2,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium fair, medium looks","medium_fair","","fair",NA,"flat owner",0,1,0,0,966
102,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",64,27,"bachelors","b.sc",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"medium fair, medium looks","medium_fair","","fair",NA,"flat owner, own car",0,1,0,1,777
103,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",68,22,"bachelors","b.tech",0,1,1,1,"Retired",0,0,0,0,1,"retired",0,0,"medium fair, medium looks","medium_fair","","fair",NA,"house owner",1,0,0,0,858
104,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",72,25,"masters","m.a",1,2,1,0,"Retired",0,0,0,0,1,"govt. employee",0,0,"medium fair, medium looks","medium_fair","","fair",NA,"house owner",1,0,0,0,905
105,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,23,"bachelors","b.sc",0,1,1,0,"govt employee",0,1,0,0,0,"govt. employee",0,0,"medium fair, medium looks","medium_fair","","fair",NA,"",0,0,0,0,677
106,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",67,23,"bachelors","b.sc",1,1,1,0,"Business",0,0,0,1,0,"housewife",0,1,"medium fair, medium looks","medium_fair","","fair",NA,"",0,0,0,0,836
107,FALSE,2,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"masters","m.a",NA,1,1,0,"business",0,0,0,1,0,"nm",0,0,"medium fair, medium looks","medium_fair","","fair",NA,"",0,0,0,0,1168
108,FALSE,2,"HC",TRUE,1,"HCG-HI","HC",35000,"HI",65,23,"bachelors","b.com",0,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium fair, medium looks","medium_fair","","fair",NA,"",0,0,0,0,945
109,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,25,"masters","m.a",0,1,1,0,"Business",0,0,0,1,0,"teacher",0,0,"medium fair, very good looks","medium_fair","","very_good",NA,"flat owner",0,1,0,0,662
110,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,27,"masters","m.a",0,1,1,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium fair, very good looks","medium_fair","","very_good",NA,"house owner",1,0,0,0,754
111,FALSE,2,"MC",TRUE,1,"HCG-HI","HC",35000,"HI",63,25,"masters","m.sc",1,1,1,0,"business",0,0,0,1,0,"housewife",0,1,"medium fair, very good looks","medium_fair","","very_good",NA,"",0,0,0,0,1313
112,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,20,"bachelors","b.e",1,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium faoir, medium looks","medium_fair","","fair",NA,"",0,0,0,0,651
113,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,26,"bachelors","b.tech",0,1,1,1,"Business",0,0,0,1,0,"retired",0,0,"medium faoir, medium looks","medium_fair","","fair",NA,"",0,0,0,0,666
114,FALSE,2,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",60,25,"masters","m.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"medium looks",NA,"","fair",NA,"house owner",1,0,0,0,663
