"letter_id","duplicate_profile","edition","responder_caste","repeat_letter","groomid","groom","groom_caste","groom_income","income_level","height_in","age","education","education_raw","sons","daughters","unmdaughters","girl_working","father_occupation","father_absent","father_govt","father_private","father_business","father_retired","mother_occupation","mother_absent","mother_housewife","complexion_raw","complexion","looks_raw","looks","bride_income_pm","family_wealth_raw","own_house","own_apartment","own_land","own_car","profile_id"
1,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,28,"bachelors","b.com",1,1,1,1,"govt. employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","good looks","good",10000,"brother in delhi",0,0,0,0,100
2,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",61,21,"bachelors","b.sc",0,2,2,0,"Retired",0,0,0,0,1,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"brother is in uk",0,0,0,0,443
3,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,24,"masters","m.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","medium looks","fair",NA,"brother usa",0,0,0,0,67
4,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",62,27,"masters","m.sc",1,1,1,0,"govt. employee",0,1,0,0,0,"govt. employee",0,0,"medium fair","medium_fair","good looks","good",NA,"car owner",0,0,0,1,96
5,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",62,23,"bachelors","b.e",0,2,1,1,"govt employee",0,1,0,0,0,"housewife",0,1,"very fair","very_fair","good looks","good",NA,"car owner",0,0,0,1,487
6,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",63,27,"masters","m.a",1,1,1,0,"govt employee",0,1,0,0,0,"govt. employee",0,0,"medium","medium_fair","good looks","good",NA,"flat owner",0,1,0,0,151
7,FALSE,1,"LC",FALSE,1,"HCG-HI","HC",35000,"HI",64,22,"bachelors","b.sc",0,1,1,0,"Retired",0,0,0,0,1,"housewife",0,1,"medium fair","medium_fair","good looks","good",NA,"flat owner",0,1,0,0,357
8,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",63,21,"bachelors","b.a",1,1,1,0,"govt employee",0,1,0,0,0,"housewife",0,1,"medium","medium_fair","medium looks","fair",NA,"flat owner",0,1,0,0,536
9,FALSE,1,"HC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"bachelors","b.a",2,3,2,0,"govt. employee",0,1,0,0,0,"housewife",0,1,"medium","medium_fair","medium looks","fair",NA,"flat owner",0,1,0,0,28
10,FALSE,1,"MC",FALSE,1,"HCG-HI","HC",35000,"HI",61,24,"bachelors","b.a",1,1,1,0,"govt employee",0,1,0,0,0,"retired",0,0,"medium","medium_fair","medium looks","fair",NA,"flat owner",0,1,0,0,453
