file,version,url,retrieved,sha256
paper_2008_05_draft.pdf,Preliminary draft May 2008 (AEA 2009 conference),https://topcat.aeaweb.org/conference/2009/retrieve.php?pdfid=170,2026-09-14,fe51f29a3d79be53d7e8dd212525936c63a8b9ecc7a138d5f50c41daad778c7b
paper_2010_12_final_draft.pdf,Final draft Dec 2010 (pre-publication; Economic Inquiry 50(2) 2012 pp. 534-550),https://www.davidreiley.com/papers/CantBuyMeLove.pdf,2026-09-14,ed5491f0da3be5cf451813409f3e7ee162372c2af319d72251b19af6511eb65c
published_ei_2012.pdf,Published version (not retrieved: paywalled),https://doi.org/10.1111/j.1465-7295.2011.00398.x,,
